         579501182 function calls (575881116 primitive calls) in 278.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   456195    0.062    0.000    0.062    0.000 meta.py:2146(<listcomp>)
   560692    0.062    0.000    0.062    0.000 meta.py:374(<listcomp>)
   560692    0.062    0.000    0.062    0.000 meta.py:460(<listcomp>)
   560692    0.061    0.000    0.061    0.000 meta.py:464(<listcomp>)
   560692    0.061    0.000    0.061    0.000 meta.py:420(<listcomp>)
   560691    0.060    0.000    0.060    0.000 meta.py:845(<listcomp>)
   560692    0.059    0.000    0.059    0.000 meta.py:428(<listcomp>)
   560692    0.059    0.000    0.059    0.000 meta.py:468(<listcomp>)
   560692    0.058    0.000    0.058    0.000 meta.py:444(<listcomp>)
   560691    0.058    0.000    0.058    0.000 meta.py:849(<listcomp>)
   560692    0.057    0.000    0.057    0.000 meta.py:472(<listcomp>)
   560692    0.057    0.000    0.057    0.000 meta.py:424(<listcomp>)
   560692    0.056    0.000    0.056    0.000 meta.py:454(<listcomp>)
   591942    0.056    0.000    0.056    0.000 {method 'add' of 'set' objects}
   560692    0.056    0.000    0.056    0.000 meta.py:476(<listcomp>)
   456195    0.055    0.000    0.055    0.000 generator.py:265(_slot_multivalued)
   560692    0.055    0.000    0.055    0.000 meta.py:480(<listcomp>)
   560692    0.054    0.000    0.054    0.000 meta.py:487(<listcomp>)
   560692    0.054    0.000    0.054    0.000 meta.py:506(<listcomp>)
   560692    0.053    0.000    0.053    0.000 meta.py:510(<listcomp>)
   456195    0.052    0.000    0.052    0.000 meta.py:2290(<listcomp>)
   456195    0.051    0.000    0.051    0.000 meta.py:2204(<listcomp>)
   456195    0.051    0.000    0.051    0.000 meta.py:2302(<listcomp>)
   456195    0.050    0.000    0.050    0.000 meta.py:2265(<listcomp>)
   456195    0.050    0.000    0.050    0.000 meta.py:2294(<listcomp>)
   456195    0.049    0.000    0.049    0.000 meta.py:2211(<listcomp>)
   456195    0.049    0.000    0.049    0.000 meta.py:2218(<listcomp>)
   456195    0.048    0.000    0.048    0.000 meta.py:2222(<listcomp>)
   456195    0.048    0.000    0.048    0.000 meta.py:2298(<listcomp>)
   250643    0.026    0.000    0.026    0.000 uml_model.py:154(by_name)
   269259    0.026    0.000    0.026    0.000 {method 'values' of 'dict' objects}
   214937    0.020    0.000    0.020    0.000 {method 'keys' of 'dict' objects}
   136182    0.016    0.000    0.016    0.000 meta.py:3682(<listcomp>)
   136182    0.016    0.000    0.016    0.000 meta.py:3666(<listcomp>)
   136182    0.015    0.000    0.015    0.000 meta.py:3686(<listcomp>)
   136182    0.015    0.000    0.015    0.000 meta.py:3730(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3734(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3690(<listcomp>)
    86645    0.014    0.000    0.014    0.000 meta.py:2433(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3738(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3698(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3694(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3742(<listcomp>)
   136182    0.014    0.000    0.014    0.000 meta.py:3714(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3746(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3724(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3750(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3757(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3776(<listcomp>)
    86645    0.013    0.000    0.013    0.000 meta.py:2447(<listcomp>)
   136182    0.013    0.000    0.013    0.000 meta.py:3780(<listcomp>)
    89840    0.012    0.000    0.012    0.000 {built-in method builtins.callable}
    86645    0.012    0.000    0.012    0.000 meta.py:2460(<listcomp>)
    86645    0.011    0.000    0.011    0.000 meta.py:2451(<listcomp>)
    86645    0.011    0.000    0.011    0.000 meta.py:2464(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2474(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2484(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2492(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2496(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2488(<listcomp>)
    86645    0.010    0.000    0.010    0.000 meta.py:2500(<listcomp>)
    86645    0.009    0.000    0.009    0.000 meta.py:2504(<listcomp>)
     3108    0.002    0.000    0.009    0.000 generator.py:205(get_attr_type_classes)
     3108    0.007    0.000    0.007    0.000 generator.py:208(<dictcomp>)
     1044    0.003    0.000    0.006    0.000 parse.py:935(<listcomp>)
     9349    0.003    0.000    0.004    0.000 enum.py:1224(__hash__)
    31059    0.002    0.000    0.002    0.000 {method '__getitem__' of 'dict' objects}
    17851    0.002    0.000    0.002    0.000 meta.py:972(<listcomp>)
    17851    0.002    0.000    0.002    0.000 meta.py:980(<listcomp>)
    17851    0.002    0.000    0.002    0.000 meta.py:990(<listcomp>)
    17851    0.002    0.000    0.002    0.000 meta.py:976(<listcomp>)
       87    0.002    0.000    0.002    0.000 {built-in method builtins.print}
     1044    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 meta.py:550(__post_init__)
      3/2    0.000    0.000    0.000    0.000 typing.py:479(__getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:658(Union)
        1    0.000    0.000    0.000    0.000 typing.py:702(Optional)
       44    0.000    0.000    0.000    0.000 parse.py:835(__missing__)
        2    0.000    0.000    0.000    0.000 typing.py:1353(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.000    0.000 metamodelcore.py:142(__init__)
        1    0.000    0.000    0.000    0.000 metamodelcore.py:61(__init__)
       16    0.000    0.000    0.000    0.000 typing.py:1297(__setattr__)
        6    0.000    0.000    0.000    0.000 typing.py:694(<genexpr>)
        1    0.000    0.000    0.000    0.000 metamodelcore.py:67(is_valid)
